filepath,disease,severity,label_10,fold
FMD\Stage2\1016_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1017_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1018_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1019_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1020_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1021_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1022_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1023_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1025_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1032_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1034_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1035_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1036_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1037_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1038_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1039_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1040_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1044_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\104_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1051_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1055_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1058_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\105_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1060_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1062_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1064_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\106_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1073_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1075_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1076_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1081_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1082_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1083_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1085_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1086_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1087_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1091_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1093_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1097_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\109_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1102_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1103_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1104_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1108_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\110_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1110_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1111_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1112_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1114_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1115_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1118_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\111_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1121_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1122_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1127_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1128_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\112_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1133_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1136_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\113_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1145_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1150_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1159_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1176_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\117_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\119_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\11_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1201_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1202_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1209_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1210_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1217_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1220_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1221_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1225_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1233_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1238_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1239_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1248_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1260_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1276_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1286_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1287_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1294_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1295_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\12_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1300_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1301_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1303_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1306_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1315_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1317_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1322_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1323_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1325_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1331_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1345_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1364_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1372_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1377_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1384_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\138_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1391_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1405_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1406_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1408_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\140_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1414_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1422_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\142_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1434_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1435_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1445_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1446_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1450_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1473_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1474_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1480_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1497_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\151_fmd.jpeg,fmd,2.0,fmd_s2,3
FMD\Stage2\1527_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1529_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\152_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1531_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1539_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1567_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1572_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1577_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1581_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1593_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1596_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1600_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\160_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1612_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\162_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1630_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1634_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\163_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1647_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\164_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1651_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1652_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\165_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1660_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1661_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\166_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1675_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\167_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1681_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1689_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\168_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1693_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1694_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\169_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\170_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1712_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\171_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1720_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\173_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\174_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\176_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\178_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1794_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\179_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1806_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1812_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1814_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1818_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1819_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\181_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1828_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\182_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1836_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\183_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1853_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1855_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1863_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1877_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\187_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\188_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\189_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1921_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1923_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\193_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1953_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1963_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1979_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1996_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\2003_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\2008_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\2009_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\200_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\2013_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\201_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\202_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\2032_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\2049_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\2057_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\2062_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\2064_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\206_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\2071_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\207_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\208_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\2103_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\210_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\2116_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\2119_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\211_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\2124_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\212_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\2131_fmd.jpg,fmd,2.0,fmd_s2,4
